EYFP	mKate
2123.300049	5466.689941
48.450001	17.01
22.950001	3.24
545.700012	406.619995
31.450001	25.92
34	23.49
2849.200195	2453.48999
18.700001	5.67
2981.800049	3950.370117
21.25	23.49
775.200012	968.76001
18.700001	9.72
10.200001	21.059999
2663.900146	10364.75977
5.1	35.639999
11.05	15.39
1453.5	375.839996
275.399994	331.290009
6888.400391	16966.25977
10449.90039	8671.860352
4.25	19.440001
1909.100098	1702.619995
4691.149902	3322.620117
5553.050293	6404.669922
8.5	8.91
3423.800049	3069.899902
5.95	32.400002
8294.299805	18724.76953
3803.75	2415.419922
50.150002	21.870001
204	106.919998
43.350002	8.1
20.400002	4.86
45.050003	1.62
8.5	27.540001
871.25	570.23999
137.699997	76.949997
1639.650024	937.97998
37.400002	22.68
17.85	11.34
1684.700073	4548.149902
10.200001	26.73
2111.400146	3957.659912
1233.349976	1363.22998
977.5	1368.900024
1062.5	574.289978
532.950012	113.400002
1125.400024	2485.080078
193.800003	124.739998
5.1	23.49
527.850037	440.640015
13.6	24.299999
30.6	15.39
12.75	37.259998
40.800003	18.629999
1027.650024	468.98999
51.850002	34.02
10.200001	30.780001
35.700001	0.81
50.150002	24.299999
9.35	7.29
5.95	13.77
5111.050293	3376.080078
15750.5	19610.91016
28.050001	19.440001
1263.950073	3386.610107
334.900024	97.199997
547.400024	489.23999
7.65	17.82
1962.650024	2997
2.55	2.43
3009.850098	7844.850098
447.950012	607.5
43.350002	9.72
5.1	7.29
14.450001	8.1
11.900001	10.53
2671.550049	5299.830078
1.7	0.81
12274	7477.919922
16.15	15.39
18.700001	5.67
5.95	7.29
1909.950073	4403.160156
16835.09961	17274.86914
31.450001	17.82
222.700012	54.27
72.25	21.870001
47.600002	31.59
889.100037	1440.180054
1885.300049	2208.870117
36.549999	20.25
6434.5	12719.42969
36.549999	6.48
2305.199951	4634.819824
3209.600098	3167.100098
15.3	0.81
2.55	13.77
1992.400024	3043.169922
1254.599976	1784.430054
18.700001	7.29
314.5	61.560001
2956.300049	2096.280029
25.5	8.1
20.400002	9.72
34	29.969999
5.1	6.48
7.65	21.059999
1769.700073	1536.569946
9.35	6.48
2455.650146	3180.870117
90.100006	33.209999
24579.45117	51695.01172
720.800049	1249.02002
30.6	9.72
3196.850098	3867.75
12.75	10.53
27.200001	8.1
8.5	17.01
5631.25	4848.660156
11.900001	8.1
1374.450073	2008.800049
127.5	55.889999
28.050001	21.059999
799.850037	1191.51001
34.850002	29.969999
26.35	17.82
29.75	19.440001
17.85	8.91
6001.850098	4906.169922
339.150024	62.369999
197.200012	79.379997
4272.950195	8064.359863
16.15	6.48
5926.200195	8666.19043
2021.300049	6441.120117
5202	10841.04004
6310.400391	9570.959961
2291.600098	4523.040039
11.900001	22.68
5510.550293	9361.980469
39821.65234	45989.37109
19997.95117	22395.68945
378.25	532.97998
4826.300293	10039.9502
3105.900146	2845.530029
12.75	16.200001
11.05	4.86
238	128.789993
2037.450073	3400.380127
11.900001	2.43
27.200001	0.81
776.900024	420.390015
1762.900024	1557.630005
1139.849976	1629.719971
357	277.829987
855.100037	1018.169983
45.050003	51.029999
1819	3981.959961
22363.5	13522.9502
1802.850098	4020.840088
1745.900024	1202.040039
912.900024	878.849976
14.450001	21.870001
438.600006	399.329987
175.950012	157.139999
5465.5	7107.75
28.900002	23.49
23.800001	33.209999
23.800001	25.110001
22.950001	17.82
1918.450073	1769.040039
1385.5	1895.400024
13.6	25.110001
89.25	48.599998
14197.55078	14557.32031
11.900001	9.72
3598.050049	11849.49023
1790.100098	5323.319824
646.850037	454.410004
1620.100098	2846.340088
25.5	4.86
22.1	36.450001
24.650002	18.629999
2187.900146	409.049988
31.450001	24.299999
22.1	19.440001
2675.800049	6230.52002
511.700012	215.460007
324.700012	281.880005
34	35.639999
2286.5	3425.48999
11.900001	5.67
1384.650024	2135.969971
21.25	11.34
6081.75	10112.84961
49.300003	4.86
374	144.180008
64.599998	4.05
16.15	21.059999
28.900002	4.05
5.1	24.299999
24.650002	11.34
2981.800049	1164.780029
24.650002	22.68
44.200001	85.050003
1.7	28.35
20725.55078	13062.87012
17	14.58
18.700001	8.91
